All event log messages.
Date:	2017-03-31 09:18:20
System Name:	vController2
Controller Name:	ITA-GRAM-W-44
Controller Id	N/A

RobotWare: 6.04.01.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	888-2 PROFINET Controller/Device
	687-1 Advanced Robot Motion
	603-1 Absolute Accuracy
	608-1 World Zones
	610-1 Independent Axis
	611-1 Path Recovery
	612-1 Path Offset
	885-1 SoftMove
	613-1 Collision Detection
	614-1 FTP and NFS client
	616-1 PC Interface
	617-1 FlexPendant Interface
	623-1 Multitasking
	689-1 Externally Guided Motion (EGM)
	English
	976-1 T10 Jogging Device

Robot1
Key:	
Options:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	810-2 SafeMove
	Axis Calibration
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position X3

TrackMotion
	Key:	
Options:	
	IRBT 2005 Standard Carriage
		Robot Orientation 180 Degrees

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
99        	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:44:49 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
100       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:44:49 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
101       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:44:50 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
102       	I   	Operational         	10052   	Regain start                            	2017-03-22 05:44:53 	A regain movement has started.	{args: "0"}
103       	I   	Operational         	10053   	Regain ready                            	2017-03-22 05:44:53 	The regain movement is ready.	{args: "0"}
104       	I   	Operational         	10151   	Program started                         	2017-03-22 05:44:53 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
105       	I   	Operational         	10151   	Program started                         	2017-03-22 05:44:53 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "RECEIVER"}
106       	I   	Operational         	10151   	Program started                         	2017-03-22 05:44:53 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "SENDER"}
107       	W   	Program             	41571   	Socket error                            	2017-03-22 05:44:53 	Task: SENDER.The address and port is already in use and cannot be used by this socket. Program ref: /A009_ComRhino_s/init_socket/SocketBind/703.	{args: "SENDER", "/A009_ComRhino_s/init_socket/SocketBind/703", "ERR_SOCK_ADDR_INUSE", "10048:6:1:127.0.0.1:30004:0.000000"}
108       	W   	Program             	41571   	Socket error                            	2017-03-22 05:44:53 	Task: RECEIVER.The address and port is already in use and cannot be used by this socket. Program ref: /A009_ComRhino_r/init_socket/SocketBind/701.	{args: "RECEIVER", "/A009_ComRhino_r/init_socket/SocketBind/701", "ERR_SOCK_ADDR_INUSE", "10048:6:1:127.0.0.1:30003:0.000000"}
109       	E   	Program             	41570   	Socket error                            	2017-03-22 05:44:53 	Task: SENDER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_s/wait_for_client/SocketAccept/724.	{args: "SENDER", "/A009_ComRhino_s/wait_for_client/SocketAccept/724", " ", "-7:8:1:127.0.0.1:30004:1.000000"}
110       	E   	Program             	40223   	Execution error                         	2017-03-22 05:44:53 	The execution of task SENDER has been stopped by a runtime error.	{args: "SENDER"}
111       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:44:53 	The program execution in task SENDER has been stopped due to a spontaneous error.	{args: "4", "SENDER"}
112       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:44:53 	The task SENDER has stopped. The reason is that an error has occurred.	{args: "4", "SENDER"}
113       	E   	Program             	41570   	Socket error                            	2017-03-22 05:44:53 	Task: RECEIVER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_r/wait_for_client/SocketAccept/722.	{args: "RECEIVER", "/A009_ComRhino_r/wait_for_client/SocketAccept/722", " ", "-7:8:1:127.0.0.1:30003:1.000000"}
114       	E   	Program             	40223   	Execution error                         	2017-03-22 05:44:53 	The execution of task RECEIVER has been stopped by a runtime error.	{args: "RECEIVER"}
115       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:44:53 	The program execution in task RECEIVER has been stopped due to a spontaneous error.	{args: "3", "RECEIVER"}
116       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:44:53 	The task RECEIVER has stopped. The reason is that an error has occurred.	{args: "3", "RECEIVER"}
117       	I   	Operational         	10125   	Program stopped                         	2017-03-22 05:44:57 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred.	{args: "1", "T_ROB1"}
118       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:45:07 	The program execution in task RECEIVER has left a spontaneous error state.	{args: "3", "RECEIVER"}
119       	I   	Operational         	10021   	Execution error reset                   	2017-03-22 05:45:07 	The program execution in task SENDER has left a spontaneous error state.	{args: "4", "SENDER"}
120       	I   	Operational         	10052   	Regain start                            	2017-03-22 05:45:07 	A regain movement has started.	{args: "0"}
121       	I   	Operational         	10053   	Regain ready                            	2017-03-22 05:45:07 	The regain movement is ready.	{args: "0"}
122       	I   	Operational         	10156   	Program restarted                       	2017-03-22 05:45:07 	Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator is an external client.	{args: "1", "T_ROB1"}
123       	I   	Operational         	10156   	Program restarted                       	2017-03-22 05:45:08 	Execution of task RECEIVER has been restarted from where it was previously stopped. The originator is an external client.	{args: "3", "RECEIVER"}
124       	I   	Operational         	10156   	Program restarted                       	2017-03-22 05:45:08 	Execution of task SENDER has been restarted from where it was previously stopped. The originator is an external client.	{args: "4", "SENDER"}
125       	E   	Program             	41570   	Socket error                            	2017-03-22 05:45:08 	Task: RECEIVER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_r/wait_for_client/SocketAccept/722.	{args: "RECEIVER", "/A009_ComRhino_r/wait_for_client/SocketAccept/722", " ", "-7:8:1:127.0.0.1:30003:1.000000"}
126       	E   	Program             	40223   	Execution error                         	2017-03-22 05:45:08 	The execution of task RECEIVER has been stopped by a runtime error.	{args: "RECEIVER"}
127       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:45:08 	The program execution in task RECEIVER has been stopped due to a spontaneous error.	{args: "3", "RECEIVER"}
128       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:45:08 	The task RECEIVER has stopped. The reason is that an error has occurred.	{args: "3", "RECEIVER"}
129       	E   	Program             	41570   	Socket error                            	2017-03-22 05:45:08 	Task: SENDER.The socket cannot accept incoming connection requests since it is not set to listen state. Program ref: /A009_ComRhino_s/wait_for_client/SocketAccept/724.	{args: "SENDER", "/A009_ComRhino_s/wait_for_client/SocketAccept/724", " ", "-7:8:1:127.0.0.1:30004:1.000000"}
130       	E   	Program             	40223   	Execution error                         	2017-03-22 05:45:08 	The execution of task SENDER has been stopped by a runtime error.	{args: "SENDER"}
131       	I   	Operational         	10020   	Execution error state                   	2017-03-22 05:45:08 	The program execution in task SENDER has been stopped due to a spontaneous error.	{args: "4", "SENDER"}
132       	I   	Operational         	10126   	Program stopped                         	2017-03-22 05:45:08 	The task SENDER has stopped. The reason is that an error has occurred.	{args: "4", "SENDER"}
133       	I   	Operational         	10125   	Program stopped                         	2017-03-22 05:45:14 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred.	{args: "1", "T_ROB1"}
134       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:45:23 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
135       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:45:23 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
136       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 05:45:23 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
