All event log messages.
Date:	2017-03-31 09:18:20
System Name:	vController2
Controller Name:	ITA-GRAM-W-44
Controller Id	N/A

RobotWare: 6.04.01.00
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	888-2 PROFINET Controller/Device
	687-1 Advanced Robot Motion
	603-1 Absolute Accuracy
	608-1 World Zones
	610-1 Independent Axis
	611-1 Path Recovery
	612-1 Path Offset
	885-1 SoftMove
	613-1 Collision Detection
	614-1 FTP and NFS client
	616-1 PC Interface
	617-1 FlexPendant Interface
	623-1 Multitasking
	689-1 Externally Guided Motion (EGM)
	English
	976-1 T10 Jogging Device

Robot1
Key:	
Options:	
	Motor Commutation
	Service Info System
	Pendelum Calibration
	810-2 SafeMove
	Axis Calibration
	Drive System IRB 460/640/660/760/4600/66xx/6700
	IRB 4600-40/2.55 Type C
	ADU-790A in position X3

TrackMotion
	Key:	
Options:	
	IRBT 2005 Standard Carriage
		Robot Orientation 180 Degrees

Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
586       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:00 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
587       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:01 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
588       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:01 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
589       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:02 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
590       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:04 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
591       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:04 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
592       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:05 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
593       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:06 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
594       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:07 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
595       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:08 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
596       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:09 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
597       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:11 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
598       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:12 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
599       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:13 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
600       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:14 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
601       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:15 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
602       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:16 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
603       	W   	Motion              	50024   	Corner path failure                     	2017-03-22 06:12:17 	Task: T_ROB1.Corner path executed as stop point due to some of the following reasons: - Time delay.- Closely programmed points.- System requires high CPU-load. Program ref. /A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339.	{args: "T_ROB1", "/A028_Motion_Procs/move_from_buffer_robtarget/MoveLSync/339"}
604       	E   	Motion              	50050   	Position outside reach                  	2017-03-22 06:12:17 	Position for ROB_1 joint 3 is outside working area. Joint 1-6 : Number of the axis which causes the error.Joint 23: Combination of axis 2 and 3 causes the error.	{args: "3", "ROB_1"}
605       	I   	Operational         	10020   	Execution error state                   	2017-03-22 06:12:17 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
606       	I   	Operational         	10020   	Execution error state                   	2017-03-22 06:12:17 	The program execution in task RECEIVER has been stopped due to a spontaneous error.	{args: "3", "RECEIVER"}
607       	I   	Operational         	10020   	Execution error state                   	2017-03-22 06:12:17 	The program execution in task SENDER has been stopped due to a spontaneous error.	{args: "4", "SENDER"}
608       	I   	Operational         	10125   	Program stopped                         	2017-03-22 06:12:17 	The task RECEIVER has stopped. The reason is that an external or internal stop has occurred.	{args: "3", "RECEIVER"}
609       	I   	Operational         	10125   	Program stopped                         	2017-03-22 06:12:17 	The task SENDER has stopped. The reason is that an external or internal stop has occurred.	{args: "4", "SENDER"}
610       	I   	Operational         	10125   	Program stopped                         	2017-03-22 06:12:18 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred.	{args: "1", "T_ROB1"}
611       	I   	Operational         	10230   	Backup step ready                       	2017-03-22 08:36:14 	The backup step Prepare is ready.	{args: "0"}
612       	I   	Operational         	10231   	Backup step ready                       	2017-03-22 08:36:14 	The backup step Configuration is ready.	{args: "1"}
613       	I   	Operational         	10232   	Backup step ready                       	2017-03-22 08:36:14 	The backup of Task is ready.	{args: "2"}
614       	I   	Operational         	10233   	Backup step ready                       	2017-03-22 08:36:14 	The backup of Controller Settings is ready.	{args: "3"}
615       	I   	Operational         	10045   	System restarted                        	2017-03-22 16:52:45 	System was restarted.	{args: }
617       	W   	Motion              	50316   	Absolute accuracy not activated         	2017-03-22 16:52:46 	Absolute accuracy function not activated for robot ROB_1.	{args: "ROB_1"}
618       	W   	Motion              	50465   	Tuning of robot stiffness parameters is recommended	2017-03-22 16:52:46 	No tuned system parameters for 'Motion Process Mode' on robot ROB_1 found.	{args: "ROB_1", "Mounting Stiffness"}
619       	I   	Operational         	10012   	Safety guard stop state                 	2017-03-22 16:52:48 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop, or in manual mode if enabling device was released.	{args: }
620       	I   	Operational         	10015   	Manual mode selected                    	2017-03-22 16:52:48 	The system is in the Manual mode.	{args: }
621       	E   	Motion              	50050   	Position outside reach                  	2017-03-22 16:52:48 	Position for ROB_1 joint 3 is outside working area. Joint 1-6 : Number of the axis which causes the error.Joint 23: Combination of axis 2 and 3 causes the error.	{args: "3", "ROB_1"}
622       	E   	Motion              	50147   	Power fail restart failed               	2017-03-22 16:52:48 	Re-creation of the path failed.	{args: "-14"}
623       	E   	System              	20381   	Error when recreating path after power fail	2017-03-22 16:52:48 	The path wasn't successfully recreated.	{args: }
624       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-22 16:52:48 	The program pointer of task PSC_CBC has been reset.	{args: "2", "0", "PSC_CBC"}
625       	I   	Operational         	10155   	Program restarted                       	2017-03-22 16:52:48 	Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator could not be determined.	{args: "1", "T_ROB1"}
626       	I   	Operational         	10150   	Program started                         	2017-03-22 16:52:48 	Execution of task PSC_CBC has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "PSC_CBC"}
627       	I   	Operational         	10155   	Program restarted                       	2017-03-22 16:52:48 	Execution of task RECEIVER has been restarted from where it was previously stopped. The originator could not be determined.	{args: "3", "RECEIVER"}
628       	I   	Operational         	10155   	Program restarted                       	2017-03-22 16:52:48 	Execution of task SENDER has been restarted from where it was previously stopped. The originator could not be determined.	{args: "4", "SENDER"}
629       	I   	Operational         	10129   	Program stopped                         	2017-03-22 16:52:48 	The task PSC_CBC has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "2", "PSC_CBC"}
630       	I   	Operational         	10129   	Program stopped                         	2017-03-22 16:52:48 	The task RECEIVER has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "3", "RECEIVER"}
631       	I   	Operational         	10129   	Program stopped                         	2017-03-22 16:52:48 	The task SENDER has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "4", "SENDER"}
632       	I   	Operational         	10129   	Program stopped                         	2017-03-22 16:52:48 	The task T_ROB1 has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "1", "T_ROB1"}
633       	I   	Operational         	10150   	Program started                         	2017-03-22 16:52:48 	Execution of task PSC_CBC has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "PSC_CBC"}
634       	I   	Operational         	10016   	Automatic mode requested                	2017-03-22 16:52:49 	The system has been ordered to go to the Automatic mode.	{args: }
635       	I   	Operational         	10017   	Automatic mode confirmed                	2017-03-22 16:52:49 	The system is in the Automatic mode.	{args: }
636       	I   	Operational         	10010   	Motors OFF state                        	2017-03-22 16:52:49 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
637       	I   	Operational         	10011   	Motors ON state                         	2017-03-22 16:52:54 	The system is in the Motors ON state.	{args: }
638       	I   	Operational         	10230   	Backup step ready                       	2017-03-23 16:14:39 	The backup step Prepare is ready.	{args: "0"}
639       	I   	Operational         	10231   	Backup step ready                       	2017-03-23 16:14:39 	The backup step Configuration is ready.	{args: "1"}
640       	I   	Operational         	10232   	Backup step ready                       	2017-03-23 16:14:39 	The backup of Task is ready.	{args: "2"}
641       	I   	Operational         	10233   	Backup step ready                       	2017-03-23 16:14:39 	The backup of Controller Settings is ready.	{args: "3"}
642       	I   	Operational         	10045   	System restarted                        	2017-03-31 08:58:19 	System was restarted.	{args: }
644       	W   	Motion              	50316   	Absolute accuracy not activated         	2017-03-31 08:58:21 	Absolute accuracy function not activated for robot ROB_1.	{args: "ROB_1"}
645       	W   	Motion              	50465   	Tuning of robot stiffness parameters is recommended	2017-03-31 08:58:21 	No tuned system parameters for 'Motion Process Mode' on robot ROB_1 found.	{args: "ROB_1", "Mounting Stiffness"}
646       	I   	Operational         	10012   	Safety guard stop state                 	2017-03-31 08:58:22 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop, or in manual mode if enabling device was released.	{args: }
647       	I   	Operational         	10015   	Manual mode selected                    	2017-03-31 08:58:22 	The system is in the Manual mode.	{args: }
648       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-31 08:58:22 	The program pointer of task PSC_CBC has been reset.	{args: "2", "0", "PSC_CBC"}
649       	I   	Operational         	10155   	Program restarted                       	2017-03-31 08:58:22 	Execution of task T_ROB1 has been restarted from where it was previously stopped. The originator could not be determined.	{args: "1", "T_ROB1"}
650       	I   	Operational         	10150   	Program started                         	2017-03-31 08:58:22 	Execution of task PSC_CBC has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "PSC_CBC"}
651       	I   	Operational         	10155   	Program restarted                       	2017-03-31 08:58:22 	Execution of task RECEIVER has been restarted from where it was previously stopped. The originator could not be determined.	{args: "3", "RECEIVER"}
652       	I   	Operational         	10155   	Program restarted                       	2017-03-31 08:58:22 	Execution of task SENDER has been restarted from where it was previously stopped. The originator could not be determined.	{args: "4", "SENDER"}
653       	I   	Operational         	10129   	Program stopped                         	2017-03-31 08:58:22 	The task PSC_CBC has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "2", "PSC_CBC"}
654       	I   	Operational         	10129   	Program stopped                         	2017-03-31 08:58:22 	The task RECEIVER has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "3", "RECEIVER"}
655       	I   	Operational         	10129   	Program stopped                         	2017-03-31 08:58:22 	The task SENDER has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "4", "SENDER"}
656       	I   	Operational         	10129   	Program stopped                         	2017-03-31 08:58:22 	The task T_ROB1 has stopped. The reason is that the event routine for RESET or POWER_ON is ready.	{args: "1", "T_ROB1"}
657       	I   	Operational         	10150   	Program started                         	2017-03-31 08:58:22 	Execution of task PSC_CBC has been started from the first instruction of the task's entry routine. The originator could not be determined.	{args: "2", "PSC_CBC"}
658       	I   	Operational         	10016   	Automatic mode requested                	2017-03-31 08:58:23 	The system has been ordered to go to the Automatic mode.	{args: }
659       	I   	Operational         	10017   	Automatic mode confirmed                	2017-03-31 08:58:23 	The system is in the Automatic mode.	{args: }
660       	I   	Operational         	10010   	Motors OFF state                        	2017-03-31 08:58:23 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
661       	I   	Operational         	10011   	Motors ON state                         	2017-03-31 08:58:27 	The system is in the Motors ON state.	{args: }
662       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-31 08:59:58 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
663       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-31 09:00:08 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
664       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-31 09:00:08 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
665       	I   	Operational         	10052   	Regain start                            	2017-03-31 09:00:09 	A regain movement has started.	{args: "0"}
666       	I   	Operational         	10053   	Regain ready                            	2017-03-31 09:00:09 	The regain movement is ready.	{args: "0"}
667       	I   	Operational         	10151   	Program started                         	2017-03-31 09:00:09 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
668       	I   	Operational         	10151   	Program started                         	2017-03-31 09:00:09 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "RECEIVER"}
669       	I   	Operational         	10151   	Program started                         	2017-03-31 09:00:09 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "SENDER"}
670       	E   	Motion              	50442   	Robot axis configuration error          	2017-03-31 09:00:09 	It is not possible to reach the programmed position with given robot configuration.Task: T_ROB1.Program ref. /RsTempModule/RsTempPath/MoveL/194.Robot: ROB_1.Axis: rob1_4.	{args: "T_ROB1", "/RsTempModule/RsTempPath/MoveL/194", "ROB_1", "rob1_4"}
671       	I   	Operational         	10020   	Execution error state                   	2017-03-31 09:00:09 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
672       	I   	Operational         	10020   	Execution error state                   	2017-03-31 09:00:09 	The program execution in task RECEIVER has been stopped due to a spontaneous error.	{args: "3", "RECEIVER"}
673       	I   	Operational         	10020   	Execution error state                   	2017-03-31 09:00:09 	The program execution in task SENDER has been stopped due to a spontaneous error.	{args: "4", "SENDER"}
674       	I   	Operational         	10125   	Program stopped                         	2017-03-31 09:00:09 	The task RECEIVER has stopped. The reason is that an external or internal stop has occurred.	{args: "3", "RECEIVER"}
675       	I   	Operational         	10125   	Program stopped                         	2017-03-31 09:00:09 	The task SENDER has stopped. The reason is that an external or internal stop has occurred.	{args: "4", "SENDER"}
676       	I   	Operational         	10125   	Program stopped                         	2017-03-31 09:00:09 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred.	{args: "1", "T_ROB1"}
677       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-31 09:00:10 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
678       	I   	Operational         	10021   	Execution error reset                   	2017-03-31 09:00:42 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
679       	I   	Operational         	10157   	Program restarted                       	2017-03-31 09:00:42 	Execution of task RECEIVER has been restarted from where it was previously stopped. The restart order was initiated by an action causing the UNDO handler to execute.	{args: "3", "RECEIVER"}
680       	I   	Operational         	10133   	Program stopped                         	2017-03-31 09:00:42 	The task RECEIVER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "3", "RECEIVER"}
681       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-31 09:00:42 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
682       	I   	Operational         	10021   	Execution error reset                   	2017-03-31 09:00:42 	The program execution in task RECEIVER has left a spontaneous error state.	{args: "3", "RECEIVER"}
683       	I   	Operational         	10157   	Program restarted                       	2017-03-31 09:00:42 	Execution of task SENDER has been restarted from where it was previously stopped. The restart order was initiated by an action causing the UNDO handler to execute.	{args: "4", "SENDER"}
684       	I   	Operational         	10133   	Program stopped                         	2017-03-31 09:00:42 	The task SENDER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "4", "SENDER"}
685       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-31 09:00:42 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
686       	I   	Operational         	10021   	Execution error reset                   	2017-03-31 09:00:42 	The program execution in task SENDER has left a spontaneous error state.	{args: "4", "SENDER"}
687       	I   	Operational         	10052   	Regain start                            	2017-03-31 09:00:42 	A regain movement has started.	{args: "0"}
688       	I   	Operational         	10053   	Regain ready                            	2017-03-31 09:00:42 	The regain movement is ready.	{args: "0"}
689       	I   	Operational         	10151   	Program started                         	2017-03-31 09:00:42 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
690       	I   	Operational         	10151   	Program started                         	2017-03-31 09:00:42 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "RECEIVER"}
691       	I   	Operational         	10151   	Program started                         	2017-03-31 09:00:42 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "SENDER"}
692       	E   	Motion              	50027   	Joint Out of Range                      	2017-03-31 09:01:53 	Position for ROB_1 joint rob1_6 is out of working range.	{args: "rob1_6", "ROB_1"}
693       	I   	Operational         	10020   	Execution error state                   	2017-03-31 09:01:53 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
694       	I   	Operational         	10020   	Execution error state                   	2017-03-31 09:01:53 	The program execution in task RECEIVER has been stopped due to a spontaneous error.	{args: "3", "RECEIVER"}
695       	I   	Operational         	10020   	Execution error state                   	2017-03-31 09:01:53 	The program execution in task SENDER has been stopped due to a spontaneous error.	{args: "4", "SENDER"}
696       	I   	Operational         	10125   	Program stopped                         	2017-03-31 09:01:53 	The task RECEIVER has stopped. The reason is that an external or internal stop has occurred.	{args: "3", "RECEIVER"}
697       	I   	Operational         	10125   	Program stopped                         	2017-03-31 09:01:53 	The task SENDER has stopped. The reason is that an external or internal stop has occurred.	{args: "4", "SENDER"}
698       	I   	Operational         	10125   	Program stopped                         	2017-03-31 09:01:54 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred.	{args: "1", "T_ROB1"}
699       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-31 09:01:55 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
700       	E   	System              	20127   	Tool data has changed                   	2017-03-31 09:02:01 	The active tool T_ROB1/tFormwork23 was removed and replaced with tool0. The tool data was located in task: T_ROB1 connected to mechanical unit ROB_1.	{args: "T_ROB1", "ROB_1", "T_ROB1/tFormwork23", "tool0"}
701       	E   	System              	20128   	Work object data has changed            	2017-03-31 09:02:01 	The active work object T_ROB1/obBaseNew24 was removed and replaced with wobj0. The work object data was located in task: T_ROB1 connected to mechanical unit ROB_1.	{args: "T_ROB1", "ROB_1", "T_ROB1/obBaseNew24", "wobj0"}
702       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-31 09:02:16 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
703       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-31 09:02:16 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
704       	I   	Operational         	10021   	Execution error reset                   	2017-03-31 09:02:17 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
705       	I   	Operational         	10021   	Execution error reset                   	2017-03-31 09:02:17 	The program execution in task RECEIVER has left a spontaneous error state.	{args: "3", "RECEIVER"}
706       	I   	Operational         	10021   	Execution error reset                   	2017-03-31 09:02:17 	The program execution in task SENDER has left a spontaneous error state.	{args: "4", "SENDER"}
707       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-31 09:02:29 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
708       	I   	Operational         	10152   	Program started                         	2017-03-31 09:02:34 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "3", "RECEIVER"}
709       	I   	Operational         	10133   	Program stopped                         	2017-03-31 09:02:34 	The task RECEIVER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "3", "RECEIVER"}
710       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-31 09:02:34 	The program pointer of task RECEIVER has been reset.	{args: "3", "0", "RECEIVER"}
711       	I   	Operational         	10152   	Program started                         	2017-03-31 09:02:34 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The start order was initiated by an action causing the UNDO handler to execute.	{args: "4", "SENDER"}
712       	I   	Operational         	10133   	Program stopped                         	2017-03-31 09:02:34 	The task SENDER has stopped. The reason is that the task is ready with the execution of the UNDO handlers.	{args: "4", "SENDER"}
713       	I   	Operational         	10002   	Program pointer has been reset          	2017-03-31 09:02:34 	The program pointer of task SENDER has been reset.	{args: "4", "0", "SENDER"}
714       	I   	Operational         	10052   	Regain start                            	2017-03-31 09:02:34 	A regain movement has started.	{args: "0"}
715       	I   	Operational         	10053   	Regain ready                            	2017-03-31 09:02:34 	The regain movement is ready.	{args: "0"}
716       	I   	Operational         	10151   	Program started                         	2017-03-31 09:02:34 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
717       	I   	Operational         	10151   	Program started                         	2017-03-31 09:02:34 	Execution of task RECEIVER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "3", "RECEIVER"}
718       	I   	Operational         	10151   	Program started                         	2017-03-31 09:02:34 	Execution of task SENDER has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "4", "SENDER"}
719       	I   	Operational         	10012   	Safety guard stop state                 	2017-03-31 09:03:13 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop, or in manual mode if enabling device was released.	{args: }
720       	I   	Operational         	10015   	Manual mode selected                    	2017-03-31 09:03:13 	The system is in the Manual mode.	{args: }
721       	I   	Operational         	10125   	Program stopped                         	2017-03-31 09:03:13 	The task RECEIVER has stopped. The reason is that an external or internal stop has occurred.	{args: "3", "RECEIVER"}
722       	I   	Operational         	10125   	Program stopped                         	2017-03-31 09:03:13 	The task SENDER has stopped. The reason is that an external or internal stop has occurred.	{args: "4", "SENDER"}
723       	I   	Operational         	10016   	Automatic mode requested                	2017-03-31 09:03:13 	The system has been ordered to go to the Automatic mode.	{args: }
724       	I   	Operational         	10125   	Program stopped                         	2017-03-31 09:03:13 	The task T_ROB1 has stopped. The reason is that an external or internal stop has occurred.	{args: "1", "T_ROB1"}
725       	I   	Operational         	10010   	Motors OFF state                        	2017-03-31 09:03:13 	The system is in the Motors OFF state. It enters this state either after switching from Manual mode to Automatic, or after the Motors ON circuit has been opened during program execution.	{args: }
726       	I   	Operational         	10017   	Automatic mode confirmed                	2017-03-31 09:03:23 	The system is in the Automatic mode.	{args: }
727       	I   	Operational         	10012   	Safety guard stop state                 	2017-03-31 09:03:29 	The system is in the Guard stop state. It enters this state either after switching from Automatic mode to Manual, or after the Motors ON circuit has been opened by an Emergency Stop, General Stop, Automatic Stop or Superior Stop, or in manual mode if enabling device was released.	{args: }
728       	I   	Operational         	10015   	Manual mode selected                    	2017-03-31 09:03:29 	The system is in the Manual mode.	{args: }
